data,casos,vr,mf,par,trans,trab,res
2020-02-15,4,7,6,4,13,6,-1
2020-02-16,1,-4,-2,-14,6,-1,1
2020-02-17,4,4,7,-13,13,20,-2
2020-02-18,3,1,0,-4,12,15,-2
2020-02-19,6,3,6,-6,12,14,-2
2020-02-20,9,3,10,11,13,15,-3
2020-02-21,1,5,14,5,8,2,1
2020-02-22,3,-8,7,11,9,-10,1
2020-02-23,3,8,11,53,23,-2,1
2020-02-24,6,-18,-5,96,-27,-56,9
2020-02-25,4,-29,-38,112,-33,-66,10
2020-02-26,6,-26,-13,7,-32,-46,7
2020-02-27,4,-18,-5,-27,-12,-7,5
2020-02-28,5,-6,3,-26,-5,-3,5
2020-02-29,3,-8,3,-29,-4,-1,4
2020-03-01,71,-31,-16,-65,-22,-12,8
2020-03-02,21,-14,0,-46,-3,13,3
2020-03-03,25,-7,1,-29,5,13,1
2020-03-04,9,-3,7,-27,6,14,0
2020-03-05,35,0,7,-11,9,18,-1
2020-03-06,15,14,13,-7,17,21,-2
2020-03-07,20,10,12,-11,11,7,0
2020-03-08,20,6,7,-10,6,2,1
2020-03-09,26,5,9,-12,14,22,-2
2020-03-10,76,1,3,-7,12,16,-1
2020-03-11,36,1,5,-12,10,15,-1
2020-03-12,51,-3,4,-4,9,17,-1
2020-03-13,75,7,13,-5,13,19,-1
2020-03-14,120,-7,11,-13,-3,3,2
2020-03-15,172,-17,5,-17,-10,-2,3
2020-03-16,155,-15,8,-25,-11,0,4
2020-03-17,143,-31,1,-40,-26,-13,9
2020-03-18,144,-38,1,-43,-34,-21,11
2020-03-19,143,-46,-6,-45,-41,-26,14
2020-03-20,310,-47,-5,-55,-43,-29,16
2020-03-21,186,-67,-20,-76,-57,-37,18
2020-03-22,183,-74,-29,-81,-62,-38,18
2020-03-23,303,-63,-18,-66,-59,-46,20
2020-03-24,225,-72,-34,-68,-65,-55,23
2020-03-25,334,-71,-29,-66,-65,-55,23
2020-03-26,256,-70,-29,-62,-65,-54,24
2020-03-27,326,-65,-23,-61,-61,-50,24
2020-03-28,353,-69,-26,-67,-59,-42,19
2020-03-29,357,-72,-32,-74,-61,-37,17
2020-03-30,506,-64,-25,-64,-60,-47,20
2020-03-31,338,-64,-25,-61,-61,-50,21
2020-04-01,787,-62,-17,-61,-60,-50,21
2020-04-02,663,-63,-19,-59,-60,-49,22
2020-04-03,661,-61,-14,-69,-56,-47,22
2020-04-04,781,-64,-13,-73,-53,-38,17
2020-04-05,853,-69,-24,-78,-57,-35,16
2020-04-06,778,-57,-14,-67,-54,-44,19
2020-04-07,795,-59,-14,-67,-55,-48,20
2020-04-08,839,-59,-9,-72,-57,-49,20
2020-04-09,1055,-54,7,-64,-53,-47,19
2020-04-10,1521,-73,-27,-76,-70,-69,28
2020-04-11,1056,-63,-10,-77,-54,-40,18
2020-04-12,1241,-69,-21,-81,-56,-31,15
2020-04-13,1443,-58,-21,-68,-55,-43,19
2020-04-14,1352,-61,-25,-67,-57,-47,20
2020-04-15,1598,-59,-17,-67,-57,-47,20
2020-04-16,1297,-61,-19,-68,-58,-46,22
2020-04-17,1423,-58,-14,-70,-55,-44,22
2020-04-18,1489,-64,-18,-74,-53,-35,17
2020-04-19,1233,-70,-25,-77,-58,-32,16
2020-04-20,2956,-57,-15,-66,-55,-43,18
2020-04-21,1366,-74,-41,-67,-72,-68,25
2020-04-22,1755,-58,-12,-65,-55,-45,19
2020-04-23,1663,-73,-36,-67,-71,-64,25
2020-04-24,1932,-58,-15,-65,-55,-43,21
2020-04-25,1817,-64,-18,-70,-53,-34,17
2020-04-26,1490,-70,-26,-74,-58,-32,16
2020-04-27,2030,-59,-20,-67,-55,-41,19
2020-04-28,1832,-61,-23,-66,-57,-45,17
2020-04-29,1653,-60,-18,-66,-57,-45,20
2020-04-30,2343,-58,-6,-60,-54,-43,19
2020-05-01,3366,-74,-32,-68,-71,-67,27
2020-05-02,1734,-65,-13,-73,-54,-35,17
2020-05-03,1383,-73,-26,-82,-61,-33,17
2020-05-04,2073,-57,-10,-66,-53,-39,18
2020-05-05,2576,-58,-13,-63,-54,-43,19
2020-05-06,1701,-58,-7,-64,-53,-43,19
2020-05-07,1609,-62,-10,-70,-58,-45,21
2020-05-08,1875,-53,4,-65,-50,-39,20
2020-05-09,1404,-57,7,-69,-45,-29,16
2020-05-10,2715,-67,-6,-77,-51,-15,13
2020-05-11,1839,-59,-17,-67,-54,-40,19
2020-05-12,1598,-61,-19,-65,-56,-43,20
2020-05-13,1542,-61,-17,-67,-56,-43,20
2020-05-14,1345,-63,-20,-68,-58,-43,20
2020-05-15,2284,-63,-16,-73,-58,-43,23
2020-05-16,1261,-63,-12,-73,-51,-30,17
2020-05-17,1210,-69,-20,-76,-56,-24,16
2020-05-18,1590,-58,-15,-66,-54,-38,19
2020-05-19,1280,-60,-19,-65,-55,-42,20
2020-05-20,2278,-58,-11,-65,-54,-41,19
2020-05-21,1292,-59,-12,-61,-54,-40,21
2020-05-22,1526,-56,-8,-62,-51,-37,20
2020-05-23,1002,-61,-10,-68,-48,-26,16
2020-05-24,787,-74,-26,-84,-61,-29,17
2020-05-25,1746,-56,-11,-65,-52,-36,18
2020-05-26,1090,-58,-15,-63,-53,-39,18
2020-05-27,1408,-56,-9,-64,-52,-38,18
2020-05-28,1205,-57,-9,-62,-52,-37,19
2020-05-29,1366,-51,2,-60,-46,-33,18
2020-05-30,974,-56,-2,-65,-44,-20,12
2020-05-31,680,-65,-11,-69,-50,-15,12
2020-06-01,2255,-52,-5,-61,-47,-32,15
2020-06-02,1244,-53,-8,-59,-48,-35,17
2020-06-03,1259,-52,-3,-60,-47,-35,17
2020-06-04,1092,-53,-3,-59,-48,-34,18
2020-06-05,1129,-45,9,-58,-41,-30,18
2020-06-06,1211,-50,5,-62,-38,-17,13
2020-06-07,703,-62,-8,-71,-47,-14,13
2020-06-08,1157,-46,0,-58,-42,-28,15
2020-06-09,927,-48,-6,-56,-45,-32,16
2020-06-10,1785,-43,5,-55,-41,-31,15
2020-06-11,568,-59,-17,-50,-61,-55,22
2020-06-12,872,-35,14,-47,-39,-32,16
2020-06-13,644,-49,-5,-52,-40,-15,12
2020-06-14,651,-62,-15,-74,-49,-14,13
2020-06-15,1275,-46,-6,-66,-46,-29,16
2020-06-16,756,-47,-8,-60,-45,-32,17
2020-06-17,683,-44,-3,-57,-43,-31,16
2020-06-18,808,-46,-5,-52,-44,-30,16
2020-06-19,775,-41,1,-52,-40,-26,16
2020-06-20,713,-46,-1,-52,-36,-11,11
2020-06-21,364,-54,-10,-54,-42,-7,11
2020-06-22,589,-44,-6,-53,-42,-27,15
2020-06-23,538,-45,-9,-51,-43,-31,16
2020-06-24,479,-45,-4,-53,-43,-30,15
2020-06-25,410,-45,-4,-49,-43,-28,16
2020-06-26,466,-41,1,-52,-38,-25,16
2020-06-27,167,-48,-2,-61,-38,-13,12
2020-06-28,231,-57,-10,-68,-48,-9,12
2020-06-29,464,-44,-6,-61,-42,-26,15
2020-06-30,336,-41,0,-52,-40,-28,15