data,casos
2020-01-30,1
2020-01-31,1
2020-02-01,1
2020-02-02,3
2020-02-03,2
2020-02-04,2
2020-02-05,3
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,2
2020-02-11,2
2020-02-12,3
2020-02-13,5
2020-02-14,1
2020-02-15,4
2020-02-16,1
2020-02-17,4
2020-02-18,3
2020-02-19,6
2020-02-20,9
2020-02-21,1
2020-02-22,3
2020-02-23,3
2020-02-24,6
2020-02-25,4
2020-02-26,6
2020-02-27,4
2020-02-28,5
2020-02-29,3
2020-03-01,71
2020-03-02,21
2020-03-03,25
2020-03-04,9
2020-03-05,35
2020-03-06,15
2020-03-07,20
2020-03-08,20
2020-03-09,26
2020-03-10,76
2020-03-11,36
2020-03-12,51
2020-03-13,75
2020-03-14,120
2020-03-15,172
2020-03-16,155
2020-03-17,143
2020-03-18,144
2020-03-19,143
2020-03-20,310
2020-03-21,186
2020-03-22,183
2020-03-23,303
2020-03-24,225
2020-03-25,334
2020-03-26,256
2020-03-27,326
2020-03-28,353
2020-03-29,357
2020-03-30,506
2020-03-31,338
2020-04-01,787
2020-04-02,663
2020-04-03,661
2020-04-04,781
2020-04-05,853
2020-04-06,778
2020-04-07,795
2020-04-08,839
2020-04-09,1055
2020-04-10,1521
2020-04-11,1056
2020-04-12,1241
2020-04-13,1443
2020-04-14,1352
2020-04-15,1598
2020-04-16,1297
2020-04-17,1423
2020-04-18,1489
2020-04-19,1233
2020-04-20,2956
2020-04-21,1366
2020-04-22,1755
2020-04-23,1663
2020-04-24,1932
2020-04-25,1817
2020-04-26,1490
2020-04-27,2030
2020-04-28,1832
2020-04-29,1653
2020-04-30,2343
2020-05-01,3366
2020-05-02,1734
2020-05-03,1383
2020-05-04,2073
2020-05-05,2576
2020-05-06,1701
2020-05-07,1609
2020-05-08,1875
2020-05-09,1404
2020-05-10,2715
2020-05-11,1839
2020-05-12,1598
2020-05-13,1542
2020-05-14,1345
2020-05-15,2284
2020-05-16,1261
2020-05-17,1210
2020-05-18,1590
2020-05-19,1280
2020-05-20,2278
2020-05-21,1292
2020-05-22,1526
2020-05-23,1002
2020-05-24,787
2020-05-25,1746
2020-05-26,1090
2020-05-27,1408
2020-05-28,1205
2020-05-29,1366
2020-05-30,974
2020-05-31,680
2020-06-01,2255
2020-06-02,1244
2020-06-03,1259
2020-06-04,1092
2020-06-05,1129
2020-06-06,1211
2020-06-07,703
2020-06-08,1157
2020-06-09,927
2020-06-10,1785
2020-06-11,568
2020-06-12,872
2020-06-13,644
2020-06-14,651
2020-06-15,1275
2020-06-16,756
2020-06-17,683
2020-06-18,808
2020-06-19,775
2020-06-20,713
2020-06-21,364
2020-06-22,589
2020-06-23,538
2020-06-24,479
2020-06-25,410
2020-06-26,466
2020-06-27,167
2020-06-28,231
2020-06-29,464
2020-06-30,336
2020-07-01,332
2020-07-02,177
2020-07-03,112